booth,fandoms,facebook_url,zone
J15-16,"LoL, genshin, mob100, nijisanji, pixela",https://www.facebook.com/photo/?fbid=1068596558629203&set=a.1056406669848192,J
J17,"holo, movie, original",https://www.facebook.com/photo?fbid=1068745291947663&set=a.1056406669848192,J
J18,"ALNST, pixela",https://www.facebook.com/photo/?fbid=1068602011961991&set=a.1056406669848192,J
J21-22,holo,https://www.facebook.com/photo/?fbid=1065812142240978&set=a.1056406669848192,J
J23,holo,https://www.facebook.com/photo/?fbid=1066326008856258&set=a.1056406669848192,J
J24,holo,https://www.facebook.com/photo/?fbid=1056406003181592&set=a.1056406669848192,J
J29-30,"genshin, holo, madoka, nijisanji, one piece, original, pixela",https://www.facebook.com/photo/?fbid=1065812228907636&set=a.1056406669848192,J
J33-34,"haikyuu, plave, slamdunk",https://www.facebook.com/photo?fbid=1068745628614296&set=a.1056406669848192,J
J35-36,"AOT, JJK, haikyuu, mahou-shoujo, mashle, plave, shoujo, skip & loafer, slamdunk, tokyo revenger",https://www.facebook.com/photo/?fbid=1062360635919462&set=a.1056406669848192,J
J37,"arknights, zzz",https://www.facebook.com/photo/?fbid=1066490808839778&set=a.1056406669848192,J
J38,"Kaijuu8, bungo, conan, genshin, sakamoto day",https://www.facebook.com/photo/?fbid=1068596478629211&set=a.1056406669848192,J
J40,"marvel, movie, one piece, pony",https://www.facebook.com/photo/?fbid=1066490785506447&set=a.1056406669848192,J
J41-42,"Hades, genshin, good omens, movie",https://www.facebook.com/photo?fbid=1068745818614277&set=a.1056406669848192,J
J43,"Hazbin hotel, good omens",https://www.facebook.com/photo?fbid=1068746365280889&set=a.1056406669848192,J
J44,"bungo, harry potter, kny, marvel",https://www.facebook.com/photo/?fbid=1065812112240981&set=a.1056406669848192,J
J45,"dungeon mechi, original",https://www.facebook.com/photo/?fbid=1065812178907641&set=a.1056406669848192,J
J46,original,https://www.facebook.com/photo/?fbid=1065812362240956&set=a.1056406669848192,J
J47-48,"marvel, movie, original",https://www.facebook.com/photo/?fbid=1065812328907626&set=a.1056406669848192,J
J49,"dungeon mechi, etc., transfomers",https://www.facebook.com/photo?fbid=1068746551947537&set=a.1056406669848192,J
J51-52,"dungeon mechi, original",https://www.facebook.com/photo/?fbid=1065812632240929&set=a.1056406669848192,J
J53-54,original,https://www.facebook.com/photo/?fbid=1068596595295866&set=a.1056406669848192,J
J55-56,original,https://www.facebook.com/photo/?fbid=1066490748839784&set=a.1056406669848192,J
J57-58,"ALNST, Hazbin hotel, JJK, hsr, original",https://www.facebook.com/photo/?fbid=1066490772173115&set=a.1056406669848192,J
J59-60,"JJK, genshin, haikyuu, one piece",https://www.facebook.com/photo/?fbid=1065812268907632&set=a.1056406669848192,J
J61,"Hand-made, genshin",https://www.facebook.com/photo/?fbid=1068602371961955&set=a.1056406669848192,J
J62,"genshin, original",https://www.facebook.com/photo/?fbid=1056406036514922&set=a.1056406669848192,J
J63,"bleach, dungeon mechi, ensemble star, genshin, haikyuu, jojo, original, plave, valorant",https://www.facebook.com/photo/?fbid=1068596628629196&set=a.1056406669848192,J
J65-66,"mouth washing, original",https://www.facebook.com/photo/?fbid=1065812135574312&set=a.1056406669848192,J
J67-70,"dungeon mechi, original",https://www.facebook.com/photo/?fbid=1068596501962542&set=a.1056406669848192,J
K01,"JJK, blue lock, dungeon mechi, haikyuu, mashle, original, tokyo revenger",https://www.facebook.com/photo/?fbid=1068607031961489&set=a.1056406566514869,K
K03-04,"hsr, original",https://www.facebook.com/photo/?fbid=1065814658907393&set=a.1056406566514869,K
K05-06,"JJK, one piece, original, slamdunk",https://www.facebook.com/photo/?fbid=1068612728627586&set=a.1056406566514869,K
K0708,"ALNST, JJK, dungeon mechi, hxh, mob100, naruto, original, plave, wuwa",https://www.facebook.com/photo/?fbid=1068613098627549&set=a.1056406566514869,K
K11-12,"mahou-shoujo, original",https://www.facebook.com/photo/?fbid=1065814688907390&set=a.1056406566514869,K
K13,"dungeon mechi, genshin, hsr, original",https://www.facebook.com/photo/?fbid=1068606748628184&set=a.1056406566514869,K
K14,"LoL, dungeon mechi, genshin, hsr, original",https://www.facebook.com/photo/?fbid=1065814452240747&set=a.1056406566514869,K
K15-16,"ALNST, Hades, arknights, hsr, movie, odyssey, pokemon, reverse1999, zzz",https://www.facebook.com/photo/?fbid=1068607165294809&set=a.1056406566514869,K
K17-18,"MHA, Persona, chainsaw man, dungeon mechi, genshin, original, project sekai, reborn, spy x fam",https://www.facebook.com/photo/?fbid=1068614971960695&set=a.1056406566514869,K
K19-20,original,https://www.facebook.com/photo/?fbid=1066326488856210&set=a.1056406566514869,K
K23-24,original,https://www.facebook.com/photo/?fbid=1068613788627480&set=a.1056406566514869,K
K25-26,"arknights, chainsaw man, original, valorant",https://www.facebook.com/photo/?fbid=1062414089247450&set=a.1056406566514869,K
K27-30,"dr.stone, dungeon mechi, good omens, haikyuu, mob100, original, reverse1999",https://www.facebook.com/photo/?fbid=1068604808628378&set=a.1056406566514869,K
K31-32,"JJK, LoL, blue lock, dungeon mechi, genshin, haikyuu, nijisanji, original, pixela, wind breaker",https://www.facebook.com/photo/?fbid=1065814545574071&set=a.1056406566514869,K
K33-34,"blue lock, chainsaw man, genshin, hsr, original, orv",https://www.facebook.com/photo/?fbid=1068614168627442&set=a.1056406566514869,K
K36,original,https://www.facebook.com/photo/?fbid=1065814538907405&set=a.1056406566514869,K
K37-38,"ALNST, blue lock, genshin, hsr, mahou-shoujo, original, shoujo, wind breaker",https://www.facebook.com/photo/?fbid=1065814512240741&set=a.1056406566514869,K
K39-40,"ALNST, arknights, ave mujica, dandadan, dungeon mechi, holo, madoka, mahou-shoujo, marvel, original, zzz",https://www.facebook.com/photo/?fbid=1068605761961616&set=a.1056406566514869,K
K41-42,"chinese, dr.stone, dungeon mechi, gegege, one piece, original, trigun",https://www.facebook.com/photo/?fbid=1068606648628194&set=a.1056406566514869,K
k43-44,"gegege, genshin, hsr, original, orv, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1068615548627304&set=a.1056406566514869,K
K45-46,"JJK, haikyuu, original",https://www.facebook.com/photo/?fbid=1062394015916124&set=a.1056406566514869,K
K47,original,https://www.facebook.com/photo/?fbid=1065814495574076&set=a.1056406566514869,K
K50,"original, orv, webtoon",https://www.facebook.com/photo/?fbid=1065814742240718&set=a.1056406566514869,K
K51-52,"LoL, chainsaw man, conan, elden ring, frieren, hsr, identityV",https://www.facebook.com/photo/?fbid=1066326445522881&set=a.1056406566514869,K
K53-54,"kny, original",https://www.facebook.com/photo/?fbid=1066326472189545&set=a.1056406566514869,K
K57-58,"mouth washing, original",https://www.facebook.com/photo/?fbid=1068616891960503&set=a.1056406566514869,K
K59,"hxh, original",https://www.facebook.com/photo/?fbid=1068606881961504&set=a.1056406566514869,K
K60,original,https://www.facebook.com/photo/?fbid=1068617685293757&set=a.1056406566514869,K
K61,original,https://www.facebook.com/photo/?fbid=1065814568907402&set=a.1056406566514869,K
K62,"marvel, mouth washing, original",https://www.facebook.com/photo/?fbid=1068618335293692&set=a.1056406566514869,K
K63-64,"Hazbin hotel, genshin, original",https://www.facebook.com/photo/?fbid=1065814638907395&set=a.1056406566514869,K
K65-66,original,https://www.facebook.com/photo/?fbid=1065814592240733&set=a.1056406566514869,K
K67-68,original,https://www.facebook.com/photo/?fbid=1062393945916131&set=a.1056406566514869,K
K69,"Hades, LoL, dungeon mechi, golden kamuy",https://www.facebook.com/photo/?fbid=1066491912173001&set=a.1056406566514869,K
K70,"genshin, mashle, one piece, original",https://www.facebook.com/photo/?fbid=1068606538628205&set=a.1056406566514869,K
L10,original,https://www.facebook.com/photo/?fbid=1056407696514756&set=a.1056408119848047,L
L13-14,original,https://www.facebook.com/photo/?fbid=1056407663181426&set=a.1056408119848047,L
L31-32,original,https://www.facebook.com/photo/?fbid=1057879706367555&set=a.1056408119848047,L
L39,original,https://www.facebook.com/photo/?fbid=1056407676514758&set=a.1056408119848047,L
L50,"original, pokemon",https://www.facebook.com/photo/?fbid=1057879706367555&set=a.1056408119848047,L
D01-02,"LoL, blue lock, dungeon mechi, gegege, genshin, hsr, mouth washing, one piece, original, orv, wind breaker, witch hat atelier",https://www.facebook.com/photo/?fbid=1067971192025073&set=a.1056399543182238,D
D03-04,"AOT, Hazbin hotel, genshin, holo, hsr, zzz",https://www.facebook.com/photo/?fbid=1065782155577310&set=a.1056399543182238,D
D05-06,"chi, dungeon mechi, miu404, mob100, trigun, zzz","https://www.facebook.com/photo/?fbid=1065782258910633&set=a.1056399543182238 ",D
D07-08,etc.,https://www.facebook.com/photo/?fbid=1065782448910614&set=a.1056399543182238,D
D10,"dungeon mechi, monster",https://www.facebook.com/photo/?fbid=1067970982025094&set=a.1056399543182238,D
D11-12,"blue lock, dandadan, dungeon mechi, original, wind breaker",https://www.facebook.com/photo/?fbid=1065782168910642&set=a.1056399543182238,D
D13-14,"AOT, JJK, bungo, chi, dungeon mechi, elden ring, genshin, hsr, mob100, original, wuwa",https://www.facebook.com/photo/?fbid=1067971142025078&set=a.1056399543182238,D
D15,"arp, dungeon mechi, frieren, genshin, hsr, maomao, original, shoujo",https://www.facebook.com/photo/?fbid=1065782128910646&set=a.1056399543182238,D
D16,frieren,https://www.facebook.com/photo/?fbid=1067971108691748&set=a.1056399543182238,D
D17,"JJK, genshin, identityV, trigun",https://www.facebook.com/photo/?fbid=1065782215577304&set=a.1056399543182238,D
D18,"ALNST, dungeon mechi, genshin, nijisanji, one piece, orv, sonic",https://www.facebook.com/photo/?fbid=1065782405577285&set=a.1056399543182238,D
D19,"MHA, haikyuu, plave",https://www.facebook.com/photo/?fbid=1065782475577278&set=a.1056399543182238,D
D21-22,"blue lock, conan, dungeon mechi, frieren, genshin, hsr, shoujo, skip & loafer, tsurune, wind breaker",https://www.facebook.com/photo/?fbid=1065782322243960&set=a.1056399543182238,D
D23-24,"hsr, orv, webtoon",https://www.facebook.com/photo/?fbid=1065782062243986&set=a.1056399543182238,D
